subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
klamath,juvenile monitoring,PitTag,Coho,mainstem,The Role Of The Klamath River Mainstem Corridor In The Life History And Performance Of Juvenile Coho Salmon (Oncorhynchus kisutch),2008,YUROK,,https://www.yuroktribe.org/_files/ugd/23c897_ee86e3c65bea490d9ab567e2c6d957ff.pdf,yurok klamath salmon monitoring,,,,,,,,,,,,,,,
klamath,fish survival,PitTag,Coho,,"Detection Probability of an In-Stream Passive Integrated Transponder (PIT) Tag Detection System for Juvenile Salmonids in the Klamath River, Northern California, 2011",2011,USGS,,https://pubs.usgs.gov/of/2012/1001/pdf/ofr20121001.pdf,USGS kalmath fish data,,,,,,,,,,,,,,,
lower klamath,juvenile monitoring,PitTag,Coho,,INSTALLATION OF STREAM-WIDTH PIT TAG INTERROGATION SYSTEMS TO TRACK IN TRIBUTARIES TO THE LOWER KLAMATH RIVER HABITAT USE AND NON-NATAL REARING PATTERNS OF JUVENILE COHO,2009,YUROK,,https://www.yuroktribe.org/_files/ugd/23c897_13c2f9c8dac44c379c39f05bd382247d.pdf,yurok klamath salmon monitoring,,,,,,,,,,,,,,,
upper klamath lake,fish population estimates,Population monitoring of variety of listed and unlisted species,,,ODFW,?,ODFW 2016,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
klamath,escapement,redd,Coho,mainstem,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005,2006,USFWS,,https://ifrmp.net/wp-content/uploads/2017/01/Magneson-et-al_2006_0200_Mainstem-Klamath-Salmon_Redd_Surveys_2001_to_2005.pdf,klamath coho database,,,,,,,,,,,,,,,
klamath,escapement,redd,coho,mainstem,"Results of annual coho salmon Oncorhynchus kisutch redd surveys conducted on the mainstem Klamath River in November and December, 2001 through 2005 are summarized.",2001-2005,"Magneson, M.D., and S.A. Gough.  2006.  Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005.  U. S. Fish and Wildlife Service, Arcata Fish and Wildlife Office, Arcata Fisheries Data Series Report DS 2006-07, Arcata, California. ",IFRMP,https://ifrmp.net/wp-content/uploads/2017/01/Magneson-et-al_2006_0200_Mainstem-Klamath-Salmon_Redd_Surveys_2001_to_2005.pdf,,,,,,,,,,,,,,,,
klamath,escapement,redd,chinook,mainstem,This report summarizes the 2013 fall Chinook salmon Oncorhynchus tshawytscha redd survey on the mainstem Klamath River and is the 21st such summary provided by the Arcata Fish and Wildlife Office.  ,2013,"Magneson, M.D., and P. Colombano.  2014.  Mainstem Klamath River Fall Chinook Salmon Redd Survey 2013.  U. S. Fish and Wildlife Service, Arcata Fish and Wildlife Office, Arcata Fisheries Data Series Report Number DS 2014-40, Arcata, California. ",IFRMP,https://ifrmp.net/wp-content/uploads/2017/01/Magneson-et-al_2014_0202_Mainstem-Klamath-Salmon_Redd_Surveys_2013.pdf,,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2006 South Fork Trinity River Spring Chinook/Summer Steelhead Snorkel Survey Totals,2006,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Garrison, P.",,,,,,,,,,,
klamath,escapement,"redd, carcass",UTKR Chinook,mainstem,"Fall-Run Chinook Salmon Run Characteristics and Escapement in the Mainstem Klamath River below Iron Gate Dam, 2019",2020,USFWS,,https://www.fws.gov/sites/default/files/documents/2019%20klamath%20spawn%20survey%20report%20final.pdf,klamath coho database,,,,,,,,,,,,,,,
klamath,escapement,"redd, carcass",UTKR Chinook,mainstem,Fall-Run Chinook Salmon Run Characteristics and Escapement in the Mainstem Klamath River below Iron Gate Dam. 2017,2018,USFWS,,https://ifrmp.net/wp-content/uploads/2019/08/Gough_et_al_2018_0507_Fall-Chinook-Salmon-Run.pdf,klamath coho database,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,north fork,North Fork Trinity River Summer Snorkel Surveys 2006,2006,CDFW,,,,,,North Fork Trinity River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
mid klamath,fish health,"Samples nutrients, phytoplankton, algal toxins",,,Karuk Tribe and OSU (OSU does fish health monitoring),?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
klamath,fish population estimates,Screw trap,UTKR Chinook,,"Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration",2019,USGS,,https://pubs.usgs.gov/of/2019/1107/ofr20191107.pdf,screw trap klamath data,,,,,,,,,,,,,,,
klamath,fish population estimates,Screw trap,UTKR Chinook,,KLAMATH RIVER FALL CHINOOK,2019,OTHER,,https://www.pcouncil.org/documents/2019/07/klamath-river-fall-chinook-salmon-rebuilding-plan-regulatory-identifier-number-0648-bi04-july-2019.pdf/,usgs klamath river salmon count,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,,Klamath River Outmigrant Monitoring Update,2021,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%20Update%2007June2021.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — April 11, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.4.11.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — April 18, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.4.18.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — April 25, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.4.25.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — April 4, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.4.4.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — June 24, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.6.24.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — June 6, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.6.6.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,,"Klamath River Outmigrant Monitoring Update — March 16, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.3.16.2022_0.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — March 23, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.3.23.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — March 28, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.3.28.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — May 16, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.5.16.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — May 2, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.5.2.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — May 23, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.5.23.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — May 31, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.5.31.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,UTKR Chinook,mainstem,"Klamath River Outmigrant Monitoring Update — May 9, 2022",2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.5.9.2022.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2007,USFWS,,https://www.fws.gov/sites/default/files/documents/KRTraps_CatchSummary_062007.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2008,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath_River_Outmigrant_Trapping_Summary.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2009,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathTrapSummary2009.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2010,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathTrapSummary2010.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2011,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathTrapSummary2011.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2012,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathTrapSummary-2012.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2013,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%202013%20Season%20Summary.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2015,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%20Update%2009JUN2015.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2016,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%20Summary%202016.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2017,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%20Summary%202017.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2018,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%20Summary%202018.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2019,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Trap%20Summary%202019.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,,mainstem,Mainstem Klamath River Downstream Outmigrant Trapping,2020,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20River%20Outmigrant%20Trapping%20Summary%202020.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Screw trap,Coho,mainstem,Klamath River Outmigrant Monitoring Update,2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath.Trap_.Update.6.24.2022.pdf,coho klamath data center,,,,,,,,,,,,,,,
klamath,fish survival,Screw trap,Coho,,"Effects of Iron Gate Dam Discharge and Other Factors on the Survival and Migration of Juvenile Coho Salmon in the Lower Klamath River, Northern California, 2006–09",2006-2009,USGS,,https://pubs.usgs.gov/of/2012/1067/pdf/ofr20121067.pdf,USGS kalmath fish data,,,,,,,,,,,,,,,
klamath,fish survival,Screw trap,Coho,,"Summary of Survival Data from Juvenile Coho Salmon in the Klamath River, Northern California, 2006",2006,USGS,,https://pubs.usgs.gov/of/2007/1023/pdf/ofr20071023.pdf,USGS kalmath fish data,,,,,,,,,,,,,,,
klamath,fish survival,Screw trap,Coho,,"Summary of Survival Data from Juvenile Coho Salmon in the Klamath River, Northern California, 2009",2009,USGS,,https://pubs.usgs.gov/of/2009/1270/pdf/ofr20091270.pdf,USGS kalmath fish data,,,,,,,,,,,,,,,
klamath,fish survival,Screw trap,Coho,,"Survival and Migration Behavior of Juvenile Coho Salmon in the Klamath River Relative to Discharge at Iron Gate Dam, Northern California, 2007",2007,USGS,,https://pubs.usgs.gov/of/2008/1332/pdf/ofr20081332.pdf,USGS kalmath fish data,,,,,,,,,,,,,,,
lower klamath,juvenile monitoring,Screw trap,ALL,mainstem,"Summary of Abundance and Biological Data Collected During Juvenile Salmonid Monitoring in the Mainstem Klamath River Below Iron Gate Dam, California, 2021",2021,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathOutmigrantReport2021_final.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
lower klamath,juvenile monitoring,Screw trap,,mainstem,"Summary of Abundance and Biological data Collected During Juvenile Salmonid Monitoring on the Mainstem Klamath River Below Iron Gate Dam, California",2016,USFWS,,https://www.fws.gov/sites/default/files/documents/2016_KlamathOutmigrantReport_final.pdf,USFWS data library,,,,,,,,,,,,,,,
lower klamath,juvenile monitoring,Screw trap,,mainstem,"Summary of Abundance and Biological data Collected During Juvenile Salmonid Monitoring on the Mainstem Klamath River Below Iron Gate Dam, California",2015,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathOutmigrantReport2015_final.pdf,USFWS data library,,,,,,,,,,,,,,,
lower klamath,juvenile monitoring,Screw trap,,mainstem,"Summary of Abundance and Biological data Collected During Juvenile Salmonid Monitoring on the Mainstem Klamath River Below Iron Gate Dam, California",2014,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathOutmigrantReport2014.pdf,USFWS data library,,,,,,,,,,,,,,,
lower klamath,juvenile monitoring,Screw trap,,mainstem,"Summary of Abundance and Biological data Collected During Juvenile Salmonid Monitoring on the Mainstem Klamath River Below Iron Gate Dam, California",2013,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathOutmigrantReport2000-13_final.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,"Spring Chinook and Summer Steelhead Count Salmon River, California, August 9 & 14, 2006",2006,CDFW,,,,,,"Spring Chinook and Summer Steelhead Count, Salmon River",Anonymous,,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2006 Trinity River tributaries steelhead spawing survey report,2006,CDFW,,,,,,Steelhead spawning survey and monitoring,"Hill, A.",,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring On The Mainstem Trinity River At Willow Creek, California, 2006-2007",2007,USFWS,,https://www.fws.gov/sites/default/files/documents/2006_2007_WCT_Trap_report.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,hayfork creek,2007 Hayfork Creek Summer Snorkel Surveys,2007,CDFW,,,,,,Hayfork Creek Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,South Fork Trinity River Main Stem Summer Snorkel Surveys 2007,2007,CDFW,,,,,,South Fork Trinity Main Stem Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,tributary,Trinity River Tributary Annual Summer Snorkel Survey 2007,2007,CDFW,,,,,,Trinity River Tributary Annual Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2007 Trinity River tributaries steelhead spawning survey report,2007,CDFW,,,,,,Steelhead spawning survey and monitoring,"Hill, A.",,,,,,,,,,,
trinity,fish survival,,Coho,,"Summary of Migration and Survival Data from Radio-Tagged Juvenile Coho Salmon in the Trinity River, Northern California, 2008",2008,USGS,,https://pubs.usgs.gov/of/2009/1092/pdf/ofr20091092.pdf,coho klamath data center,,,,,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring On The Mainstem Trinity River At Willow Creek, California, 2008",2008,USFWS,,https://www.fws.gov/sites/default/files/documents/2008_WCT_Trap_report_final.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,north fork,North Fork Trinity River Summer Snorkel Surveys 2008,2008,CDFW,,,,,,North Fork Trinity River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2008 Trinity River tributaries steelhead spawning survey report,2008,CDFW,,,,,,Steelhead spawning survey and monitoring,"Hill, A.",,,,,,,,,,,
trinity,escapement,Screw trap,All Salmon,,FINAL- 2009/10 season Trinity River Project trapping summary,2009,CDFW,,,,,,Trinity River salmonid monitoring,"Sinnen, W., J. Hileman and M. C. Kier",,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Emigration Monitoring on the Mainstem Trinity River, California, 2009",2009,USFWS,,https://www.fws.gov/sites/default/files/documents/Trinity_River_Outmigrant_Monitoring_2009.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,juvenile monitoring,Seine,,,KLAMATH RIVER ESTUARY JUVENILE SALMONID MONITORING PROJECT,2008,YUROK,,https://www.yuroktribe.org/_files/ugd/23c897_04e4d78773fb4e19a78823526c2a922b.pdf,usfws trinity salmon population data,,,,,,,,,,,,,,,
shasta,water quality,Shasta River TMDL Conditional Waiver; monitoring to evaluate effectiveness of BMP,,,North Coast Regional Water Quality Control Board (NCRWQCB),?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2009 South Fork Trinity River Spring Chinook and Summer Steelhead Snorkel Survey Totals,2009,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174879,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Hill, A.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2004 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2004,CDFW,,,,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2005 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/ Happy Camp Ranger Districts,2005,CDFW,,,,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2006 Steelhead Surveys by Watershed Data Collected by USFS Orleans/ Happy Camp Ranger District,2006,CDFW,,,,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2007 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2007,CDFW,,,,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2008 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2008,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84299,Steelhead surveys,,2008_Steelhead surveys,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2010 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2010,USFS,,,Steelhead spawning,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2011 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2011,USFS,,,Steelhead spawning,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2012 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2012,USFS,,,Steelhead spawning,,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,2013 Steelhead Surveys by Watershed Data Collected by the USFS Orleans/Happy Camp Ranger Districts,2013,USFS,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84304,Steelhead spawning,,2009_Steelhead surveys_watershed,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,"Cyr, L.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,canyon creek,Canyon Creek Summer Snorkel Surveys 2006,2006,CDFW,,,,,,Canyon Creek Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,canyon creek,Canyon Creek Summer Snorkel Surveys 2008,2008,CDFW,,,,,,Canyon Creek Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,canyon creek,Canyon Creek Summer Snorkel Surveys 2012,2012,CDFW,,,,,,Canyon Creek Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,new river,New River Snorkel Survey 2011,2011,CDFW,,,,,,New River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,new river,New River Snorkel Survey 2012,2012,CDFW,,,,,,New River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,new river,New River Summer Snorkel Surveys 2006,2006,CDFW,,,,,,New River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,All Salmon,new river,New River Summer Snorkel Surveys 2008,2008,CDFW,,,,,,New River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,new river,New River Summer Steelhead Surveys 2007,2007,CDFW,,,,,,New River Summer Snorkel Surveys,"Wiseman, E",,,,,,,,,,,
klamath,escapement,Snorkle,Steelhead,,Steelhead Surveys by Watershed USFS Orleans Happy Camp Ranger Districts,2009,CDFW,,,,,,"Cyr, L.","Cyr, L.",,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"1998 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA AUGUST 15 & 16, 1998",1998,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500993.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"1999 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA AUGUST 14 & 15, 1999",1999,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500994.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2000 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA July 19 & 20, 2000",2000,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500995.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2001 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA July 25 & 26, 2001",2001,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500996.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2002 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA July 24 & 25, 2002",2002,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500997.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2003 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA July 23 & 24, 2003",2003,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500998.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2004 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA August 17-19, 2004",2004,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd500999.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2011 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIAAugust 10 – 11, 2011",2011,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprd3833411.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2012 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA 7/25/2012",2012,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprd3833412.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2013 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA JULY 23, 2013",2013,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprd3833413.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2014 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA July 23, 2014",2014,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprd3833414.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2015 SPRING CHINOOK/SUMMER STEELHEAD DIVE
 SALMON RIVER, CALIFORNIA July 24, 2015",2015,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd537591.rtf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2016 SPRING CHINOOK/SUMMER STEELHEAD DIVE
 SALMON RIVER, CALIFORNIA July 27, 2016",2016,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd537625.rtf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,"2017 SPRING CHINOOK/SUMMER STEELHEAD DIVE SALMON RIVER, CALIFORNIA July 26, 2017",2017,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd582281.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,Salmon River Spring Chinook and Summer Steelhead Count 2008,2008,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
