subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Emigration Monitoring on the Lower Trinity River, California, 1999-2000",2000,YUROK,,https://www.yuroktribe.org/_files/ugd/23c897_e4591caad24a4ad09889c4f5ecb0b3c8.pdf,usfws trinity salmon population data,,,,,,,,,,,,,,,
upper klamath lake,water quality,,,,Klamath Tribes; USGS,1980-ongoing,,IFRMP Phase 4 Report,,"Collected at sites in and above Upper Klamath and Agency lakes. water nutrients, temperature, water chemisty, aquatic productivity, discharge",,,,,,,,,,,,,,,
williamson,fish health,,,,Effectiveness monitoring of sucker restoration efforts in Upper Klamath including Williamson River Delta Restoration Project,?,Burdick 2012; Wood et al. 2013,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,escapement,,,,Fish passage barrier surveys,?,USFWS and partners,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,fish health,,,,Fish use of thermal refugia and fish health,?,"USFWS, Yurok Tribe, Mid-Klamath Watershed Council",IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,flow,,,,Fisheries program focuses on base flows and temperatures in coordination with USFS. Measures summer low-flow discharge rates annually on all major and most minor tribs to mainstem mid-Klamath,?,Karuk Department of Natural Resources: Fisheries,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath lake,flow,,,,Flow monitoring,?,TU,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,flow,,,,Flow monitoring as part of the Pacific Coastal Salmon Recovery Fund,,NOAA Fisheries,IFRMP Phase 4 Report,https://www.fs.usda.gov/detail/klamath/landmanagement/resourcemanagement/?cid=stelprdb5312713,,,,,,,,,,,,,,,,
klamath,water temperature,,,,Water temperature was monitored at several locations in the Klamath Basin from April to October 2012. ,2012,"Magneson, M.D.  2015.  Klamath River flow and water temperature, Water Year 2012.  U.S. Fish and Wildlife Service.  Arcata Fish and Wildlife Office, Arcata Fisheries Technical Report Number DS 2015-42, Arcata, California. ",IFRMP,https://ifrmp.net/wp-content/uploads/2017/01/Magneson_2012_0212_Klamath-River-Flow-and-Water-temp.pdf,,,,,,,,,,,,,,,,
williamson,water quality,,,,"Following intentional levee breaches, TNC began monitoring water quality and vegetation across the re-inundated portion of the Williamson River Delta Preserve, with vegetation monitoring that involved cataloguing changes in wetland diversity over time",2010-ongoing,TNC,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath lake,flow,,,,Groundwater and streamflow monitoring,?,OWRD,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
klamath,fish health,,,,September 2002 Klamath River Fish Kill: Preliminary Analysis of Contributing Factors,2003,KUROK,,https://www.karuk.us/images/docs/wqdocuments/COMPLETEDKlamFishKillFactors.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2000,KUROK,,https://www.karuk.us/images/docs/wqdocuments/Karuk2000&01WQReport.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2002,KUROK,,https://www.karuk.us/images/docs/wqdocuments/Karuk2002WQReport.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2006,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2006WQReport.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2007,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2007WQReport_Final.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2008,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2008WQReport.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2009,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2009WQ_Report.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2010,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2010WQAR.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2011,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2011WQAR.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2012,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2012%20Karuk%20Water%20Quality%20Annual%20Report_FINAL.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2013,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2013WQAR.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2014,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2014WQARfinal.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2015,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2015WQAR_Final.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2016,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2016WQAR_D2.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2017,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2017WQAR_Final1.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2018,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2018WQAR_Karuk_Final1.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,water quality,,,,Water Quality Monitoring Report,2019,KUROK,,https://www.karuk.us/images/docs/wqdocuments/2019WQAR.pdf,karok klamath fish data,,,,,,,,,,,,,,,
klamath,operations,,,,Klamath Project January 2023 Temporary Operating Procedure,2023,USBR,,https://www.usbr.gov/mp/kbao/docs/klamath-project-january2023top01262023.pdf,odwr klamath fish data,,,,,,,,,,,,,,,
