stream,adult_year,weir_removed,spawners
shasta,2004,9-Dec-04,373
shasta,2005,31-Dec-05,69
shasta,2006,6-Dec-06,47
shasta,2007,15-Dec-07,249
shasta,2008,23-Dec-08,30
shasta,2009,22-Dec-09,9
shasta,2010,17-Dec-10,44
shasta,2011,7-Jan-11,62
shasta,2012,30-Nov-12,115
shasta,2013,15-Dec-13,163
scott,2007,31-Dec-07,"1,622"
scott,2008,27-Dec-08,63
scott,2009,11-Jan-10,81
scott,2010,7-Jan-11,927
scott,2011,11-Jan-12,355
scott,2012,29-Nov-12,199
scott,2013,31-Dec-13,"2,752"
