subbasin,data_type,species,source,start,end,n_years,species_group
Lower Klamath,Water Quality,NA,YUROK,2016,2016,1,NA
Lower Klamath,Water Quality,NA,YUROK,2017,2017,1,NA
Lower Klamath,Water Quality,NA,YUROK,2018,2018,1,NA
Lower Klamath,Water Quality,NA,YUROK,2019,2019,1,NA
Lower Klamath,Operations,NA,USBR,2023,2023,1,NA
Trinity,Fish Survival,Coho,USGS,2008,2008,1,Coho
Trinity,Habitat,UTKR Chinook,USFWS,2013,2013,1,Chinook
Trinity,Habitat,UTKR Chinook,USFWS,2014,2014,1,Chinook
Trinity,Habitat,UTKR Chinook,USFWS,2018,2018,1,Chinook
Trinity,Habitat,UTKR Chinook,USFWS,2011,2011,1,Chinook
Trinity,Habitat,UTKR Chinook,USFWS,2010,2010,1,Chinook
Trinity,Habitat,NA,USFWS,2020,2020,1,NA
Trinity,Habitat,UTKR Chinook,USFWS,2015,2015,1,Chinook
Trinity,Water Temperature,All Salmon,CDFW,2016,2016,1,All Salmonids
Lower Klamath,Escapement,NA,CDFW,2015,2015,1,NA
Lower Klamath,Escapement,NA,CDFW,2016,2016,1,NA
Lower Klamath,Escapement,NA,CDFW,2017,2017,1,NA
Lower Klamath,Escapement,NA,CDFW,2018,2018,1,NA
Lower Klamath,Hatchery,All Salmon,CDFW,2006,2006,1,All Salmonids
Lower Klamath,Hatchery,All Salmon,CDFW,2007,2007,1,All Salmonids
Lower Klamath,Hatchery,All Salmon,CDFW,2005,2005,1,All Salmonids
Lower Klamath,Hatchery,Fall Chinook,CDFW,2007,2007,1,Chinook
Lower Klamath,Hatchery,All Salmon,CDFW,2008,2008,1,All Salmonids
Lower Klamath,Hatchery,All Salmon,CDFW,2009,2009,1,All Salmonids
Lower Klamath,Hatchery,Fall Chinook,CDFW,2010,2010,1,Chinook
Lower Klamath,Hatchery,All Salmon,CDFW,2011,2011,1,All Salmonids
Lower Klamath,Hatchery,All Salmon,CDFW,2012,2012,1,All Salmonids
Lower Klamath,Hatchery,All Salmon,CDFW,2013,2013,1,All Salmonids
Salmon,Fish Population Estimates,Fall Chinook,CDFW,2004,2004,1,Chinook
Scott,Escapement,All Salmon,CDFW,2020,2020,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2018,2018,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2019,2019,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2021,2021,1,All Salmonids
